date,description,amount,type,expense,merchant,category
2025-10-12,K9QN:0001 200.00 CREDIT,-200.0,payment,0.0,KQN CREDIT,payment
2025-10-12,UBER,7.97,expense,7.97,UBER,transport
2025-10-15,UBER,5.48,expense,5.48,UBER,transport
2025-10-24,TMOBILE*AUTO PAY 800-937-8997 WA,55.0,expense,55.0,TMOBILEAUTO PAY WA,other
2025-10-25,UBER,5.64,expense,5.64,UBER,transport
2025-10-25,SAMPAY PLEASE STOP 0PARKVILLE MO,8.32,expense,8.32,SAMPAY PLEASE STOP PARKVILLE MO,other
2025-10-25,OPENAI *CHATGPT SUBSSAN FRANCISCO CA,20.0,expense,20.0,OPENAI CHATGPT SUBSSAN FRANCISCO CA,other
2025-11-02,UBER,5.21,expense,5.21,UBER,transport
2025-11-05,MIDTOWN MARKET 00000KANSAS CITY MO,42.09,expense,42.09,MIDTOWN MARKET KANSAS CITY MO,other
2025-11-05,TMOBILE PREPAID WEB 877-778-2106 WA,16.68,expense,16.68,TMOBILE PREPAID WEB WA,other
2025-11-06,KEYME LOCKSMITHS JERSEY CITY NJ,16.31,expense,16.31,KEYME LOCKSMITHS JERSEY CITY NJ,other
2025-11-06,KEYME LOCKSMITHS JERSEY CITY NJ,11.77,expense,11.77,KEYME LOCKSMITHS JERSEY CITY NJ,other
2025-11-08,BP#1621900PROSPECT BKANSAS CITY MO,51.61,expense,51.61,BPPROSPECT BKANSAS CITY MO,gas
2025-11-08,BP#1621900PROSPECT BKANSAS CITY MO,-51.61,payment,0.0,BPPROSPECT BKANSAS CITY MO,payment
2025-11-08,BP#1186800TROOST BP KANSAS CITY MO,8.71,expense,8.71,BPTROOST BP KANSAS CITY MO,gas
2025-11-08,BP#1186800TROOST BP KANSAS CITY MO,-8.71,payment,0.0,BPTROOST BP KANSAS CITY MO,payment
2025-11-22,AMAZON.COM AMZN.COM/BILL WA,-26.54,payment,0.0,AMAZONCOM AMZNCOMBILL WA,payment
2025-11-26,MOBILE PAYMENT - THANK YOU,-40.0,payment,0.0,MOBILE PAYMENT,payment
2025-11-27,UBER,26.23,expense,26.23,UBER,transport
2025-11-30,YOUR CASH REWARD/REFUND IS,-12.48,payment,0.0,YOUR CASH REWARDREFUND IS,payment
2025-12-05,UBER,2.87,expense,2.87,UBER,transport
2025-12-08,UBER,3.73,expense,3.73,UBER,transport
2025-12-08,TMOBILE PREPAID WEB 877-778-2106 WA,16.68,expense,16.68,TMOBILE PREPAID WEB WA,other
2025-12-15,UBER,6.35,expense,6.35,UBER,transport
2025-12-18,UNIVERSITY OF MISSOUKANSAS CITY MO,80.0,expense,80.0,UNIVERSITY OF MISSOUKANSAS CITY MO,other
2025-12-18,TN SERV FEE U OF M KJEFF IN,3.0,expense,3.0,TN SERV FEE U OF M KJEFF IN,other
2025-12-23,ELECTRONIC PAYMENT RECEIVED-THANK,-385.0,payment,0.0,ELECTRONIC PAYMENT RECEIVEDTHANK,payment
2025-12-29,AMAZON MARKEPLACE NA PA,31.69,expense,31.69,AMAZON MARKEPLACE NA PA,shopping
2025-12-31,"GROUPON, INC. CHICAGO IL",65.0,expense,65.0,GROUPON INC CHICAGO IL,other
